problem type,benchmark set,filename,number of orders,capacity,random seed,policy,opt?,UB,LB,time [s]
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-0.txt,20,60,0,optimal,True,1.86,1859.56,283.644
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-0.txt,20,60,0,largest_gap,True,2.014,2013.9,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-0.txt,20,60,0,traversal,True,2.028,2028.0,348.299
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-1.txt,20,60,1,optimal,False,1.844,1827.76,226.604
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-1.txt,20,60,1,largest_gap,True,2.019,2018.58,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-1.txt,20,60,1,traversal,False,2.107,2053.25,2625.73
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-2.txt,20,60,2,optimal,True,1.903,1903.0,577.48
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-2.txt,20,60,2,largest_gap,True,2.073,2073.0,30.586
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-2.txt,20,60,2,traversal,True,2.079,2079.0,915.581
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-3.txt,20,60,3,optimal,True,1.744,1744.0,170.048
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-3.txt,20,60,3,largest_gap,True,1.899,1899.0,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-3.txt,20,60,3,traversal,True,1.927,1926.53,2406.23
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-4.txt,20,60,4,optimal,False,1.848,1816.16,73.042
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-4.txt,20,60,4,largest_gap,False,2.015,2000.4,3334.45
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-4.txt,20,60,4,traversal,False,1.981,1966.67,2060.73
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-5.txt,20,60,5,optimal,True,1.878,1877.69,53.675
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-5.txt,20,60,5,largest_gap,True,2.048,2047.68,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-5.txt,20,60,5,traversal,True,2.081,2080.56,3285.64
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-6.txt,20,60,6,optimal,True,1.777,1776.75,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-6.txt,20,60,6,largest_gap,True,1.93,1929.54,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-6.txt,20,60,6,traversal,True,2.066,2065.58,19.998
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-7.txt,20,60,7,optimal,True,1.784,1784.0,24.6
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-7.txt,20,60,7,largest_gap,True,1.98,1980.0,95.812
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-7.txt,20,60,7,traversal,True,1.965,1964.56,12.004
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-8.txt,20,60,8,optimal,True,1.98,1979.89,4.468
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-8.txt,20,60,8,largest_gap,True,2.142,2141.62,12.036
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-8.txt,20,60,8,traversal,True,2.129,2129.0,167.902
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-9.txt,20,60,9,optimal,True,1.974,1974.0,6.524
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-9.txt,20,60,9,largest_gap,True,2.163,2163.0,29.27
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C60\3l-20-60-9.txt,20,60,9,traversal,True,2.166,2165.67,117.316
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-0.txt,20,75,0,optimal,False,1.612,1606.93,255.335
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-0.txt,20,75,0,largest_gap,True,1.802,1801.52,361.581
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-0.txt,20,75,0,traversal,False,1.76,1740.79,3600.0
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-1.txt,20,75,1,optimal,True,2.001,2000.71,275.793
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-1.txt,20,75,1,largest_gap,True,2.275,2275.0,124.31
OrderBatching,HENN,Instances_class-based\Instances_Largest_Gap\LG_O20_C75\4l-20-75-1.txt,20,75,1,traversal,True,2.179,2178.67,581.511
